website,rel,type,title,href,id
http://ito-hi.blog.so-net.ne.jp/,alternate,application/atom+xml,Atom,http://ito-hi.blog.so-net.ne.jp/atom.xml,NA
http://andrewgelman.com/,alternate,application/rss+xml,"Statistical Modeling, Causal Inference, and Social Science » Feed",http://andrewgelman.com/feed/,NA
http://andrewgelman.com/,alternate,application/rss+xml,"Statistical Modeling, Causal Inference, and Social Science » Comments Feed",http://andrewgelman.com/comments/feed/,NA
http://ouzor.github.io/,alternate,application/rss+xml,Juuso Parkkinen - Juuso's personal web page,/feed.xml,NA
http://blog-jp.treasuredata.com/,alternate,application/atom+xml,Atom,http://blog-jp.treasuredata.com/feed,NA
http://blog-jp.treasuredata.com/,alternate,application/rss+xml,RSS2.0,http://blog-jp.treasuredata.com/rss,NA
http://nakhirot.hatenablog.com/,alternate,application/atom+xml,Atom,http://nakhirot.hatenablog.com/feed,NA
http://nakhirot.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://nakhirot.hatenablog.com/rss,NA
http://pingpongpangpong.blogspot.jp/,alternate,application/atom+xml,white page - Atom,http://pingpongpangpong.blogspot.com/feeds/posts/default,NA
http://pingpongpangpong.blogspot.jp/,alternate,application/rss+xml,white page - RSS,http://pingpongpangpong.blogspot.com/feeds/posts/default?alt=rss,NA
http://highschoolstudent.hatenablog.com/,alternate,application/atom+xml,Atom,http://highschoolstudent.hatenablog.com/feed,NA
http://highschoolstudent.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://highschoolstudent.hatenablog.com/rss,NA
http://aial.shiroyagi.co.jp/,alternate,application/rss+xml,RSS 2.0,http://aial.shiroyagi.co.jp/feed/,NA
http://aial.shiroyagi.co.jp/,alternate,text/xml,RSS .92,http://aial.shiroyagi.co.jp/feed/rss/,NA
http://aial.shiroyagi.co.jp/,alternate,application/rss+xml,カメリオ開発者ブログ » フィード,http://aial.shiroyagi.co.jp/feed/,NA
http://aial.shiroyagi.co.jp/,alternate,application/rss+xml,カメリオ開発者ブログ » コメントフィード,http://aial.shiroyagi.co.jp/comments/feed/,NA
http://kazoo04.hatenablog.com/,alternate,application/atom+xml,Atom,http://kazoo04.hatenablog.com/feed,NA
http://kazoo04.hatenablog.com/,alternate,application/rss+xml,RSS2.0,http://kazoo04.hatenablog.com/rss,NA
http://karpathy.github.io/,alternate,application/atom+xml,Andrej Karpathy blog posts,/feed.xml,NA
http://hiratake55.hatenadiary.jp/,alternate,application/atom+xml,Atom,http://hiratake55.hatenadiary.jp/feed,NA
http://hiratake55.hatenadiary.jp/,alternate,application/rss+xml,RSS2.0,http://hiratake55.hatenadiary.jp/rss,NA
http://abicky.hatenablog.jp/,alternate,application/atom+xml,Atom,http://abicky.hatenablog.jp/feed,NA
http://abicky.hatenablog.jp/,alternate,application/rss+xml,RSS2.0,http://abicky.hatenablog.jp/rss,NA
http://y-uti.hatenablog.jp/,alternate,application/atom+xml,Atom,http://y-uti.hatenablog.jp/feed,NA
http://y-uti.hatenablog.jp/,alternate,application/rss+xml,RSS2.0,http://y-uti.hatenablog.jp/rss,NA
http://mockquant.blogspot.jp/,alternate,application/atom+xml,HOXO-M  - anonymous data analyst group in Japan -   - Atom,http://mockquant.blogspot.com/feeds/posts/default,NA
http://mockquant.blogspot.jp/,alternate,application/rss+xml,HOXO-M  - anonymous data analyst group in Japan -   - RSS,http://mockquant.blogspot.com/feeds/posts/default?alt=rss,NA
http://opisthokonta.net/,alternate,application/rss+xml,opisthokonta.net » Feed,http://opisthokonta.net/?feed=rss2,NA
http://opisthokonta.net/,alternate,application/rss+xml,opisthokonta.net » Comments Feed,http://opisthokonta.net/?feed=comments-rss2,NA
http://ill-identified.hatenablog.com,alternate,application/atom+xml,Atom,http://ill-identified.hatenablog.com/feed,NA
http://ill-identified.hatenablog.com,alternate,application/rss+xml,RSS2.0,http://ill-identified.hatenablog.com/rss,NA
http://estrellita.hatenablog.com,alternate,application/atom+xml,Atom,http://estrellita.hatenablog.com/feed,NA
http://estrellita.hatenablog.com,alternate,application/rss+xml,RSS2.0,http://estrellita.hatenablog.com/rss,NA
http://d.hatena.ne.jp/repose,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/repose/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
http://d.hatena.ne.jp/hamadakoichi,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/hamadakoichi/rss2,NA
http://d.hatena.ne.jp/teramonagi,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/teramonagi/rss2,NA
http://d.hatena.ne.jp/MikuHatsune,alternate,application/rss+xml,RSS 2.0,http://d.hatena.ne.jp/MikuHatsune/rss2,NA
